original_author_name,year,type,MAGID
Wei Chen,2024,1,2585669862
Adi Shamir,2002,10,2201755339
Alan C. Kay,2003,10,1974749230
Alan J. Perlis,1966,10,2659867364
Alfred V. Aho,2020,10,2380581373
Allen Newell,1975,10,2126658068
Amir Pnueli,1996,10,2171343426
Andrew Barto,2024,10,1997216218
Andrew Chi-Chih Yao,2000,10,2088166175
Avi Wigderson,2023,10,31335080
Barbara Liskov,2008,10,2084056563
Butler W. Lampson,1992,10,1785551945
C. A. R. Hoare,1980,10,2052847585
Charles W. Bachman,1973,10,2315463675
Dana Scott,1976,10,2602723040
David A. Patterson,2017,10,2098984663
Dennis M. Ritchie,1983,10,2110203303
Donald E. Knuth,1974,10,2137000881
Douglas C. Engelbart,1997,10,2208808115
E. Allen Emerson,2007,10,2115834734
Edmund M. Clarke,2007,10,2129477832
Edsger W. Dijkstra,1972,10,2137842401
Edward A. Feigenbaum,1994,10,2086686599
Frederick P. Brooks,1999,10,2097474894
Geoffrey E. Hinton,2018,10,563069026
Herbert A. Simon,1975,10,2118103072
Ivan E. Sutherland,1988,10,1941499373
Jack Dongarra,2021,10,288512535
James Hardy Wilkinson,1970,10,2193746894
Jeffrey D. Ullman,2020,10,2289364316
Jim Gray,1998,10,2131537204
John Cocke,1987,10,2161752438
John E. Hopcroft,1986,10,2079447303
John L. Hennessy,2017,10,1965698830
John McCarthy,1971,10,2498471291
Joseph Sifakis,2007,10,2105927184
Judea Pearl,2011,10,2248165042
Juris Hartmanis,1993,10,327575412
Ken Thompson,1983,10,2163136642
Kenneth E. Iverson,1979,10,2470509247
Leonard M. Adleman,2002,10,2009176085
Leslie G. Valiant,2010,10,2000097935
Leslie Lamport,2013,10,2096750770
Manuel Blum,1995,10,2163096604
Martin E. Hellman,2015,10,2146312211
Marvin Minsky,1969,10,1968041664
Maurice V. Wilkes,1967,10,2224046207
Michael O. Rabin,1976,10,2144633556
Michael Stonebraker,2014,10,1998938290
Niklaus Wirth,1984,10,2327738716
Pat Hanrahan,2019,10,2225733586
Peter Naur,2005,10,587396187
Raj Reddy,1994,10,2149385398
Richard Edwin Stearns,1993,10,2102135011
Richard M. Karp,1985,10,1964658237
Richard Sutton,2024,10,3208608207
Robert E. Kahn,2004,10,2610176178
Robert E. Tarjan,1986,10,350567680
